Name,Address,BusinessDays,BusinessHours,ToursandTasting,Area,Link,lon,lat
AMIZETTA VINEYARDS,1089 GREENFIELD RD,Mon - Sat,11 AM - 4 PM,Appointment,Zinfandel,http://www.amizetta.com/,-122.3823234,38.52233721
WHITEHALL LANE WINERY,1563 ST HELENA HWY,Mon - Sat,10 AM - 5:30 PM,Appointment,Zinfandel,https://www.whitehalllane.com/,-122.438332,38.47771556
FLORA SPRINGS WINE CO,2006 W ZINFANDEL LN,Wed - Mon,10 AM - 3:30 PM,Appointment,Zinfandel,http://www.florasprings.com/,-122.4557929,38.47778535
SINEGAL ESTATE WINERY,2125 INGLEWOOD AVE,Wed - Mon,8:30 AM - 4:30 PM,Appointment,Zinfandel,https://www.sinegalestate.com/,-122.4602641,38.48149502
CORISON WINERY,987 ST HELENA HWY,Sun - Sat,10 AM - 5 PM,Appointment,Zinfandel,http://www.corison.com/,-122.4474101,38.48499291
YOUNG INGLEWOOD VINEYARDS,1919 INGLEWOOD AVE,Tues - Sat,10 AM - 4 PM,Appointment,Zinfandel,https://www.younginglewood.com/,-122.455499,38.48293945
HALL WINERY,401 ST HELENA HWY,Sun - Sat,10 AM - 5:30 PM,Appointment,Zinfandel,https://www.hallwines.com/,-122.4530552,38.48896796
SUTTER HOME WINERY,277 ST HELENA HWY,Thurs - Mon,10 AM - 5 PM,Public,Zinfandel,https://www.sutterhome.com/,-122.4537508,38.4912744
PRAGER WINERY,1281 LEWELLING LN,Sun - Sat,"10:30 AM - 4:30 PM, 11 AM - 4:30 PM",Appointment,Zinfandel,http://www.pragerport.com/,-122.4549144,38.49121664
DEL DOTTO FAMILY WINERY,1445 S ST HELENA HWY,Thrus -Tues,10 AM - 5 PM,Appointment,Zinfandel,http://www.deldottovineyards.com/,-122.4425203,38.47988201
NIEBAUM PENNINO,1991 ST HELENA HWY,Fri - Sun,11 AM - 5 PM,Public,Rutherford,https://niebaumpennino.com/,-122.4312612,38.45456113
STAGLIN WINERY,1570 BELLA OAKS LN,Mon - Fri,9 AM - 5 PM,Appointment,Rutherford,http://www.staglinfamily.com/,-122.4291889,38.44166021
FAR NIENTE WINERY,1350 ACACIA DR,Sun - Sat,10 AM - 4:30 PM,Appointment,Oakville,https://farniente.com/,-122.404,38.4258
FUTO WINERY,1575 OAKVILLE GRADE,Sun - Sat,10 AM - 4 PM,Appointment,Oakville,http://www.futoestate.com/,-122.413,38.41639
PROMONTORY WINERY,1601 OAKVILLE GRADE,Sun - Sat,9 AM - 5 PM,Appointment,Oakville,https://www.promontory.wine/,-122.415,38.42137
THE VINEYARD HOUSE WINERY,1581 OAKVILLE GRADE,Sun - Sat,9 AM - 4:30 PM,Appointment,Oakville,http://www.tvhwines.com/,-122.411,38.41855
DANA ESTATES,1895 CABERNET LN,Sun - Sat,9 AM - 5 PM,No Tours or Tastings,Zinfandel,https://danaestates.com/,-122.45,38.47251
PESTONI FAMILY,1673 ST HELENA HWY,Sun - Sat,10 AM - 4:30 PM,Appointment,Zinfandel,http://www.pestonifamily.com/,-122.436,38.47153
TRES SABORES,1620 S WHITEHALL LN,Wed - Mon,10 AM - 5 PM,Appointment,Rutherford,http://www.tressabores.com/,-122.445,38.46217
BELLA UNION WINERY,1695 ST HELENA HWY,Sun - Sat,11:30 AM - 6 PM,Appointment,Rutherford,https://farniente.com/visit-bella-union?utm_source=google&utm_medium=organic&utm_campaign=gbp,-122.433,38.47017
GRGICH HILLS CELLARS,1829 ST HELENA HWY,Sun - Sat,9:30 AM - 4:30 PM,Appointment,Rutherford,http://www.grgich.com/,-122.429,38.4656
HARLAN ESTATE I,1567 OAKVILLE GRADE,By Appointment,By Appointment,No Tours or Tastings,Oakville,https://www.harlanestate.com/,-122.409,38.41536
PARADIGM WINERY,1277 DWYER RD,Sun - Sat,10 AM - 3:30 PM,Appointment,Oakville,https://paradigmwinery.com/,-122.394,38.42056
NAPA  CELLARS,7481 ST HELENA HWY,Thurs - Mon,10 AM - 5 PM,Appointment,Oakville,https://www.napacellars.com/,-122.39,38.42116
LOUIS M MARTINI WINERY,254 ST HELENA HWY,Sun - Sat,10 AM - 6 PM,Tasting Appointment,Zinfandel,http://www.louismartini.com/,-122.453,38.49236
THE TERRACES,1450 SILVERADO TRL,Sun - Sat,10 AM - 5 PM,Appointment,Zinfandel,http://www.terraceswine.com/,-122.419,38.4956
QUINTESSA WINERY,1601 SILVERADO TRL,Thurs - Mon,10 AM - 5 PM,Appointment,Zinfandel,http://www.quintessa.com/,-122.411,38.48687
THE PRISONER WINE COMPANY,1178 GALLERON LN,Sun - Sat,"10 AM - 4 PM, 10 AM - 5 PM",Appointment,Zinfandel,https://theprisonerwinecompany.com/pages/visit-us,-122.432,38.47449
SULLIVAN FAMILY ESTATE,1090 GALLERON LN,Sun - Sat,10 AM - 5 PM,Appointment,Zinfandel,https://sullivanwine.com/estate-experiences/?utm_source=Google+Business+Page&utm_medium=organic&utm_campaign=st+helena+ca,-122.43,38.47838
FLEURY FAMILY WINERY,950 GALLERON LN,"Mon, Wed - Sat",9 AM - 5 PM,Tasting Appointment,Zinfandel,http://www.fleurywinery.com/,-122.424,38.48119
ALPHA OMEGA WINERY,1155 MEE LN,Sun - Sat,10 AM - 6 PM,Tasting Appointment,Rutherford,http://www.aowinery.com/,-122.429,38.47045
HONIG CELLARS,850 RUTHERFORD RD,Sun - Sat,10 AM - 4 PM,Appointment,Rutherford,http://www.honigwine.com/,-122.408,38.47357
FROGS LEAP WINERY,8815 CONN CREEK RD,Sun - Sat,10 AM - 4 PM,Appointment,Rutherford,http://www.frogsleap.com/,-122.402,38.47402
LMR RUTHERFORD ESTATE WINERY,1796 ST HELENA HWY,By Appointment,By Appointment,Appointment,Rutherford,http://www.longmeadowranch.com/,-122.427,38.46537
BEAULIEU VINEYARDS,1960 ST HELENA HWY,Sun - Sat,10 AM - 5 PM,Public,Rutherford,http://www.bvwines.com/,-122.422,38.46059
